id,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class_number_of_rings
76,F,0.455,0.36,0.11,0.4385,0.206,0.098,0.125,10
77,I,0.485,0.38,0.12,0.4725,0.2075,0.1075,0.147,6
78,I,0.44,0.34,0.12,0.4995,0.2965,0.0945,0.1185,6
79,F,0.465,0.35,0.13,0.494,0.1945,0.103,0.155,18
80,I,0.435,0.375,0.11,0.4155,0.17,0.076,0.145,8
81,F,0.47,0.375,0.105,0.513,0.232,0.142,0.13,11
82,I,0.435,0.375,0.11,0.4155,0.17,0.076,0.145,8
83,I,0.495,0.375,0.14,0.494,0.181,0.0975,0.191,8
84,I,0.46,0.345,0.105,0.415,0.187,0.087,0.11,8
85,I,0.45,0.345,0.11,0.47,0.2355,0.0855,0.1135,7
86,I,0.475,0.36,0.125,0.4905,0.205,0.1305,0.125,8
87,I,0.475,0.355,0.135,0.4775,0.2145,0.09,0.1435,8
88,M,0.46,0.345,0.11,0.4595,0.235,0.0885,0.116,7
89,F,0.49,0.37,0.105,0.5265,0.249,0.1005,0.148,7
90,I,0.48,0.39,0.15,0.6275,0.276,0.134,0.185,13
91,I,0.44,0.335,0.115,0.4215,0.173,0.0765,0.113,7
92,I,0.475,0.35,0.115,0.498,0.2375,0.099,0.14,7
93,M,0.49,0.355,0.155,0.981,0.465,0.2015,0.2505,8
94,F,0.49,0.37,0.14,0.585,0.243,0.115,0.195,10
95,F,0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515,12
96,I,0.48,0.37,0.12,0.536,0.251,0.114,0.15,8
97,F,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,9
98,F,0.455,0.35,0.125,0.4485,0.1585,0.102,0.1335,16
99,F,0.495,0.37,0.12,0.594,0.28,0.11,0.1375,7
100,F,0.46,0.35,0.115,0.46,0.2025,0.1115,0.1165,6
101,I,0.455,0.335,0.105,0.422,0.229,0.0865,0.1,6
102,I,0.43,0.34,0.0,0.428,0.2065,0.086,0.115,8
103,F,0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515,12
104,M,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,14
105,F,0.475,0.38,0.145,0.57,0.167,0.118,0.187,11
106,I,0.47,0.37,0.12,0.4705,0.1845,0.1055,0.155,12
107,M,0.49,0.38,0.14,0.7605,0.245,0.167,0.185,10
108,M,0.44,0.375,0.13,0.487,0.226,0.0965,0.155,9
109,I,0.46,0.35,0.115,0.4155,0.18,0.098,0.1175,7
110,I,0.47,0.375,0.125,0.5225,0.2265,0.104,0.162,8
111,I,0.445,0.345,0.12,0.4035,0.169,0.0825,0.13,7
112,I,0.44,0.325,0.1,0.4165,0.185,0.0865,0.11,6
113,M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11
114,M,0.45,0.335,0.125,0.4475,0.2165,0.126,0.11,6
115,I,0.485,0.36,0.12,0.5155,0.2465,0.1025,0.147,8
116,I,0.455,0.375,0.12,0.497,0.2355,0.1055,0.1295,6
117,I,0.485,0.38,0.14,0.673,0.2175,0.13,0.195,18
118,I,0.44,0.33,0.135,0.4095,0.163,0.1005,0.119,6
119,I,0.47,0.37,0.12,0.4705,0.1845,0.1055,0.155,12
120,M,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,10
121,I,0.435,0.33,0.125,0.406,0.1685,0.1055,0.096,12
122,F,0.47,0.36,0.11,0.4965,0.237,0.127,0.13,6
123,M,0.46,0.355,0.11,0.415,0.215,0.082,0.13,12
124,M,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,8
125,I,0.46,0.36,0.14,0.447,0.161,0.087,0.16,9
126,F,0.45,0.36,0.11,0.447,0.203,0.082,0.13,12
127,M,0.485,0.4,0.135,0.663,0.313,0.137,0.2,10
128,F,0.45,0.325,0.135,0.438,0.1805,0.1165,0.11,9
129,M,0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17,6
130,I,0.445,0.345,0.12,0.4035,0.169,0.0825,0.13,7
131,F,0.49,0.385,0.16,0.656,0.2455,0.171,0.205,9
132,I,0.465,0.345,0.105,0.4015,0.242,0.0345,0.109,6
133,M,0.43,0.31,0.13,0.6485,0.2735,0.163,0.184,9
134,M,0.41,0.335,0.115,0.4405,0.19,0.085,0.135,8
135,I,0.46,0.355,0.11,0.436,0.1975,0.096,0.125,8
136,I,0.48,0.35,0.1,0.519,0.2365,0.1275,0.126,7
137,M,0.44,0.355,0.125,0.4775,0.132,0.0815,0.19,9
138,F,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7
139,I,0.48,0.355,0.115,0.4725,0.2065,0.112,0.132,8
140,M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11
141,F,0.475,0.365,0.115,0.566,0.281,0.117,0.1335,7
142,I,0.485,0.345,0.16,0.869,0.3085,0.185,0.319,9
143,F,0.445,0.335,0.14,0.4565,0.1785,0.114,0.14,11
144,M,0.425,0.33,0.13,0.4405,0.152,0.0935,0.155,9
145,F,0.465,0.36,0.12,0.4765,0.192,0.1125,0.16,10
146,I,0.49,0.375,0.125,0.5445,0.279,0.115,0.13,8
147,M,0.47,0.37,0.12,0.5795,0.293,0.227,0.14,9
148,I,0.44,0.33,0.135,0.4095,0.163,0.1005,0.119,6
149,M,0.455,0.345,0.15,0.5795,0.1685,0.125,0.215,13
150,I,0.445,0.34,0.145,0.434,0.1945,0.0905,0.13,7
151,M,0.415,0.325,0.14,0.417,0.1535,0.1015,0.144,10
152,F,0.47,0.36,0.1,0.4705,0.1635,0.089,0.1385,8
153,I,0.185,0.375,0.12,0.4645,0.196,0.1045,0.15,6
154,I,0.465,0.365,0.115,0.467,0.2315,0.0925,0.113,7
155,I,0.465,0.355,0.12,0.4975,0.2375,0.099,0.14,8
156,M,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,9
157,F,0.485,0.365,0.15,0.9145,0.4145,0.199,0.273,7
158,I,0.485,0.37,0.14,0.5065,0.2425,0.088,0.1465,8
159,I,0.445,0.335,0.1,0.4895,0.2745,0.086,0.1105,7
160,M,0.455,0.35,0.11,0.458,0.2,0.111,0.1305,8
161,I,0.485,0.365,0.14,0.4475,0.1895,0.0925,0.2305,8
162,M,0.485,0.385,0.105,0.556,0.296,0.104,0.133,7
163,M,0.4,0.3,0.125,0.417,0.191,0.09,0.1175,9
164,M,0.49,0.38,0.11,0.554,0.2935,0.1005,0.15,8
165,F,0.445,0.335,0.11,0.4355,0.2025,0.1095,0.1195,6
166,F,0.445,0.355,0.15,0.485,0.181,0.125,0.155,11
167,M,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,8
168,F,0.485,0.37,0.115,0.4785,0.1995,0.0955,0.129,7
169,I,0.445,0.345,0.13,0.4075,0.1365,0.0645,0.18,11
170,M,0.47,0.36,0.105,0.544,0.27,0.1395,0.129,7
171,I,0.49,0.375,0.125,0.5445,0.279,0.115,0.13,8
172,M,0.48,0.365,0.12,0.6015,0.312,0.117,0.14,7
173,F,0.49,0.38,0.145,0.6725,0.249,0.181,0.21,10
174,M,0.455,0.35,0.105,0.401,0.1575,0.083,0.135,9
175,F,0.49,0.37,0.14,0.585,0.243,0.115,0.195,10
176,I,0.475,0.355,0.125,0.4865,0.2155,0.1105,0.142,9
177,I,0.47,0.35,0.135,0.567,0.2315,0.1465,0.1525,11
178,I,0.48,0.38,0.125,0.523,0.2105,0.1045,0.175,15
179,I,0.45,0.36,0.125,0.45,0.191,0.0865,0.145,12
180,M,0.445,0.32,0.12,0.414,0.199,0.09,0.117,7
181,I,0.43,0.345,0.115,0.4295,0.212,0.108,0.109,8
182,F,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265,23
183,I,0.455,0.335,0.105,0.422,0.229,0.0865,0.1,6
184,M,0.47,0.37,0.135,0.547,0.222,0.1325,0.17,12
185,M,0.47,0.375,0.12,0.5805,0.266,0.0935,0.169,8
186,F,0.48,0.385,0.135,0.536,0.1895,0.142,0.173,14
187,F,0.455,0.365,0.115,0.4305,0.184,0.108,0.1245,8
188,M,0.455,0.35,0.11,0.458,0.2,0.111,0.1305,8
189,I,0.495,0.37,0.125,0.4775,0.185,0.0705,0.169,18
190,F,0.425,0.35,0.1,0.4425,0.175,0.0755,0.175,7
191,I,0.45,0.36,0.13,0.478,0.191,0.127,0.137,7
192,I,0.48,0.35,0.105,0.635,0.352,0.127,0.135,6
193,F,0.49,0.4,0.115,0.569,0.256,0.1325,0.145,9
194,F,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9
195,I,0.48,0.35,0.105,0.635,0.352,0.127,0.135,6
196,F,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,14
197,F,0.445,0.33,0.105,0.4525,0.18,0.103,0.123,9
198,I,0.485,0.365,0.105,0.5205,0.195,0.123,0.182,8
199,M,0.46,0.345,0.11,0.4595,0.235,0.0885,0.116,7
200,I,0.45,0.35,0.135,0.494,0.2205,0.0945,0.1405,7
201,I,0.44,0.34,0.1,0.407,0.209,0.0735,0.103,7
202,M,0.42,0.34,0.115,0.4215,0.175,0.093,0.135,8
203,M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11
204,M,0.45,0.335,0.14,0.4625,0.164,0.076,0.15,14
205,I,0.45,0.36,0.13,0.478,0.191,0.127,0.137,7
206,M,0.44,0.375,0.13,0.487,0.226,0.0965,0.155,9
207,I,0.46,0.37,0.12,0.5335,0.2645,0.108,0.1345,6
208,M,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,10
209,I,0.485,0.37,0.115,0.457,0.1885,0.0965,0.15,9
210,F,0.455,0.355,0.12,0.4495,0.177,0.104,0.15,9
211,I,0.48,0.35,0.105,0.635,0.352,0.127,0.135,6
212,I,0.435,0.33,0.125,0.406,0.1685,0.1055,0.096,12
213,I,0.475,0.365,0.125,0.5465,0.229,0.1185,0.172,9
214,I,0.455,0.345,0.11,0.434,0.207,0.0855,0.1215,8
215,F,0.475,0.365,0.115,0.566,0.281,0.117,0.1335,7
216,M,0.48,0.385,0.145,0.64,0.2925,0.1405,0.1575,6
217,I,0.475,0.365,0.12,0.53,0.2505,0.0975,0.1625,10
218,F,0.46,0.35,0.115,0.44,0.19,0.1025,0.13,8
219,F,0.38,0.32,0.115,0.6475,0.323,0.1325,0.164,7
220,F,0.4,0.335,0.115,0.4335,0.2105,0.1205,0.12,10
221,I,0.45,0.345,0.11,0.47,0.2355,0.0855,0.1135,7
222,M,0.45,0.355,0.115,0.478,0.18,0.1185,0.155,10
223,F,0.47,0.36,0.145,0.537,0.1725,0.1375,0.195,15
224,F,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10
225,F,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8
226,I,0.475,0.36,0.11,0.4555,0.177,0.0965,0.145,9
227,I,0.485,0.355,0.105,0.498,0.2175,0.096,0.1525,9
228,I,0.475,0.36,0.145,0.6325,0.2825,0.137,0.19,8
229,I,0.495,0.38,0.135,0.5095,0.2065,0.1165,0.165,8
230,I,0.44,0.365,0.115,0.501,0.2435,0.084,0.1465,9
231,I,0.47,0.38,0.125,0.4845,0.211,0.1075,0.142,6
232,I,0.485,0.37,0.1,0.513,0.219,0.1075,0.13,7
233,F,0.49,0.39,0.135,0.5785,0.2465,0.123,0.2,13
234,I,0.445,0.345,0.13,0.4075,0.1365,0.0645,0.18,11
235,M,0.445,0.345,0.14,0.476,0.2055,0.1015,0.1085,15
236,M,0.45,0.35,0.13,0.46,0.174,0.111,0.135,8
237,M,0.445,0.37,0.125,0.515,0.2495,0.087,0.159,9
238,M,0.435,0.335,0.11,0.4385,0.2075,0.0715,0.1315,7
239,M,0.465,0.36,0.105,0.488,0.188,0.0845,0.19,10
240,M,0.49,0.38,0.11,0.554,0.2935,0.1005,0.15,8
241,F,0.455,0.35,0.12,0.4555,0.1945,0.1045,0.1375,7
242,M,0.49,0.38,0.14,0.6385,0.2305,0.142,0.195,13
243,I,0.455,0.355,0.08,0.452,0.2165,0.0995,0.125,9
244,I,0.495,0.38,0.145,0.5,0.205,0.148,0.1505,8
245,M,0.46,0.375,0.135,0.4935,0.186,0.0845,0.17,12
246,I,0.475,0.365,0.12,0.5185,0.268,0.1095,0.1365,8
247,I,0.465,0.345,0.11,0.4415,0.1755,0.0905,0.12,7
248,M,0.485,0.39,0.12,0.599,0.251,0.1345,0.169,8
249,I,0.465,0.36,0.105,0.452,0.22,0.159,0.1035,9
250,F,0.455,0.37,0.105,0.4925,0.216,0.1245,0.135,9
251,M,0.465,0.36,0.115,0.5795,0.295,0.1395,0.12,7
252,M,0.49,0.465,0.125,0.5225,0.235,0.13,0.141,7
253,I,0.44,0.33,0.135,0.522,0.17,0.0905,0.195,16
254,I,0.495,0.385,0.125,0.5125,0.2075,0.1155,0.172,10
255,M,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,10
256,F,0.435,0.35,0.105,0.4195,0.194,0.1005,0.13,7
257,M,0.475,0.37,0.125,0.537,0.222,0.1215,0.15,9
258,I,0.475,0.35,0.1,0.4545,0.2165,0.111,0.115,7
259,M,0.425,0.335,0.1,0.4085,0.1755,0.092,0.135,9
260,I,0.495,0.375,0.14,0.494,0.181,0.0975,0.191,8
261,I,0.47,0.35,0.125,0.4315,0.19,0.1165,0.1175,6
262,I,0.46,0.355,0.11,0.4255,0.2015,0.081,0.13,7
263,I,0.475,0.365,0.14,0.4545,0.171,0.118,0.158,8
264,I,0.465,0.355,0.12,0.5805,0.255,0.0915,0.184,8
265,I,0.47,0.35,0.135,0.567,0.2315,0.1465,0.1525,11
266,M,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,10
267,M,0.46,0.38,0.135,0.482,0.207,0.1225,0.145,10
268,M,0.455,0.345,0.15,0.5795,0.1685,0.125,0.215,13
269,M,0.45,0.33,0.105,0.4955,0.2575,0.082,0.129,8
270,M,0.485,0.39,0.085,0.6435,0.2945,0.103,0.198,8
271,M,0.44,0.35,0.11,0.4585,0.2,0.0885,0.13,9
272,M,0.48,0.38,0.135,0.528,0.2,0.1395,0.16,14
273,F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10
274,M,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,11
275,M,0.45,0.33,0.105,0.4955,0.2575,0.082,0.129,8
276,M,0.45,0.33,0.105,0.4955,0.2575,0.082,0.129,8
277,M,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7
278,I,0.46,0.35,0.115,0.4155,0.18,0.098,0.1175,7
279,I,0.45,0.355,0.12,0.412,0.1145,0.0665,0.16,19
280,I,0.495,0.355,0.12,0.4965,0.214,0.1045,0.1495,8
281,M,0.46,0.38,0.135,0.482,0.207,0.1225,0.145,10
282,I,0.44,0.34,0.125,0.4895,0.1735,0.0875,0.2,13
283,I,0.47,0.345,0.14,0.4615,0.229,0.1105,0.116,9
284,M,0.46,0.375,0.14,0.5105,0.192,0.1045,0.205,9
285,F,0.49,0.39,0.135,0.59,0.215,0.125,0.1845,12
286,I,0.45,0.35,0.125,0.4775,0.2235,0.089,0.118,6
287,I,0.465,0.375,0.12,0.471,0.222,0.119,0.14,9
288,M,0.46,0.355,0.14,0.491,0.207,0.115,0.174,10
289,M,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10
290,M,0.49,0.395,0.135,0.5545,0.213,0.0925,0.215,14
291,I,0.455,0.355,0.08,0.452,0.2165,0.0995,0.125,9
292,F,0.45,0.345,0.115,0.496,0.1905,0.117,0.14,12
293,F,0.48,0.39,0.125,0.6905,0.219,0.155,0.2,12
294,M,0.425,0.335,0.1,0.4085,0.1755,0.092,0.135,9
295,I,0.465,0.355,0.12,0.4975,0.2375,0.099,0.14,8
296,I,0.495,0.4,0.105,0.602,0.2505,0.1265,0.19,8
297,F,0.455,0.36,0.11,0.4385,0.206,0.098,0.125,10
298,F,0.465,0.35,0.135,0.6265,0.259,0.1445,0.175,8
299,I,0.45,0.365,0.125,0.462,0.2135,0.0985,0.1315,8
300,I,0.46,0.345,0.12,0.4155,0.198,0.0885,0.107,7
301,M,0.44,0.35,0.11,0.4585,0.2,0.0885,0.13,9
302,M,0.49,0.38,0.11,0.554,0.2935,0.1005,0.15,8
303,M,0.48,0.355,0.16,0.464,0.221,0.106,0.239,8
304,M,0.48,0.36,0.1,0.439,0.194,0.099,0.115,8
305,F,0.42,0.32,0.13,0.4135,0.1645,0.106,0.119,10
306,M,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10
307,F,0.47,0.355,0.13,0.5465,0.2005,0.126,0.185,14
308,F,0.49,0.38,0.155,0.578,0.2395,0.1255,0.18,9
309,M,0.48,0.37,0.13,0.643,0.349,0.1155,0.135,8
310,I,0.44,0.325,0.1,0.4165,0.185,0.0865,0.11,6
311,M,0.45,0.325,0.115,0.4305,0.2235,0.0785,0.1155,8
312,M,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,9
313,F,0.48,0.375,0.105,0.525,0.2185,0.1195,0.155,12
314,M,0.455,0.35,0.12,0.4835,0.1815,0.144,0.16,11
315,I,0.475,0.365,0.115,0.459,0.2175,0.093,0.1165,7
316,I,0.45,0.355,0.115,0.4385,0.184,0.108,0.1125,11
317,F,0.45,0.365,0.115,0.5885,0.318,0.121,0.1325,8
318,M,0.455,0.35,0.105,0.401,0.1575,0.083,0.135,9
319,F,0.45,0.325,0.135,0.438,0.1805,0.1165,0.11,9
320,I,0.47,0.385,0.13,0.587,0.264,0.117,0.174,8
321,I,0.495,0.33,0.1,0.44,0.177,0.095,0.15,7
322,I,0.495,0.4,0.145,0.578,0.2545,0.1305,0.1645,8
323,M,0.485,0.355,0.12,0.547,0.215,0.1615,0.14,10
324,I,0.465,0.355,0.12,0.5805,0.255,0.0915,0.184,8
325,I,0.475,0.385,0.11,0.5735,0.311,0.1025,0.136,7
326,M,0.485,0.365,0.155,1.029,0.4235,0.2285,0.313,8
327,I,0.445,0.335,0.11,0.411,0.1985,0.0935,0.109,8
328,M,0.465,0.36,0.125,0.4365,0.169,0.1075,0.145,11
329,M,0.495,0.4,0.14,0.7775,0.2015,0.18,0.25,15
330,F,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9
331,M,0.445,0.34,0.12,0.4475,0.193,0.1035,0.13,9
332,I,0.49,0.39,0.12,0.511,0.2205,0.103,0.1745,9
333,I,0.44,0.345,0.12,0.487,0.1965,0.108,0.16,14
334,I,0.455,0.335,0.105,0.4055,0.175,0.092,0.1185,8
335,F,0.475,0.375,0.15,0.559,0.1955,0.1215,0.1945,12
336,F,0.485,0.365,0.12,0.5885,0.27,0.131,0.175,9
337,I,0.48,0.35,0.105,0.635,0.352,0.127,0.135,6
338,I,0.45,0.345,0.135,0.443,0.1975,0.0875,0.1175,14
339,I,0.475,0.375,0.115,0.5205,0.233,0.119,0.1455,7
340,F,0.465,0.35,0.11,0.4085,0.165,0.102,0.131,8
341,M,0.465,0.36,0.08,0.488,0.191,0.125,0.155,11
342,M,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,11
343,M,0.44,0.35,0.14,0.451,0.171,0.0705,0.184,16
344,M,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9
345,F,0.475,0.35,0.115,0.487,0.194,0.1455,0.125,13
346,I,0.46,0.345,0.115,0.4215,0.1895,0.102,0.111,6
347,F,0.49,0.36,0.11,0.5005,0.161,0.107,0.195,17
348,F,0.48,0.405,0.13,0.6375,0.277,0.1445,0.21,10
349,I,0.46,0.37,0.12,0.5335,0.2645,0.108,0.1345,6
350,M,0.495,0.38,0.135,0.6295,0.263,0.1425,0.215,12
351,I,0.485,0.37,0.13,0.458,0.181,0.113,0.136,10
352,M,0.46,0.345,0.12,0.4935,0.2435,0.1175,0.132,8
353,I,0.45,0.36,0.13,0.478,0.191,0.127,0.137,7
354,F,0.47,0.355,0.18,0.441,0.1525,0.1165,0.135,8
355,I,0.485,0.355,0.13,0.581,0.245,0.132,0.168,12
356,F,0.475,0.365,0.13,0.4805,0.1905,0.114,0.1475,12
357,M,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,9
358,M,0.475,0.36,0.12,0.578,0.2825,0.12,0.17,8
359,M,0.465,0.355,0.125,0.5255,0.2025,0.135,0.145,13
360,I,0.47,0.37,0.12,0.4705,0.1845,0.1055,0.155,12
361,M,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7
362,F,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135,10
363,I,0.465,0.355,0.11,0.474,0.23,0.1005,0.12,7
364,F,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,14
365,F,0.45,0.36,0.105,0.4715,0.2035,0.0935,0.149,9
366,I,0.44,0.355,0.165,0.435,0.159,0.105,0.14,16
367,I,0.47,0.4,0.16,0.51,0.1615,0.073,0.198,14
368,I,0.49,0.385,0.12,0.591,0.271,0.1125,0.1775,9
369,M,0.465,0.35,0.12,0.5205,0.2015,0.1625,0.185,11
370,F,0.475,0.38,0.135,0.486,0.1735,0.07,0.185,7
371,M,0.475,0.37,0.125,0.649,0.347,0.136,0.142,8
372,F,0.44,0.345,0.105,0.4285,0.165,0.083,0.132,11
373,I,0.45,0.33,0.1,0.411,0.1945,0.1,0.098,6
374,I,0.465,0.345,0.11,0.4415,0.1755,0.0905,0.12,7
375,F,0.455,0.375,0.125,0.458,0.1985,0.111,0.12,10
376,I,0.47,0.355,0.115,0.4155,0.167,0.084,0.139,7
377,F,0.485,0.375,0.135,0.556,0.1925,0.1315,0.1685,10
378,F,0.465,0.35,0.13,0.494,0.1945,0.103,0.155,18
379,M,0.45,0.335,0.14,0.478,0.1865,0.115,0.16,11
380,F,0.45,0.325,0.135,0.438,0.1805,0.1165,0.11,9
381,I,0.47,0.365,0.1,0.411,0.175,0.0855,0.135,8
382,M,0.455,0.35,0.105,0.416,0.1625,0.097,0.145,11
383,F,0.47,0.375,0.12,0.6015,0.2765,0.1455,0.135,8
384,F,0.45,0.36,0.125,0.5065,0.222,0.105,0.16,10
385,I,0.49,0.385,0.14,0.5425,0.198,0.127,0.175,11
386,M,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,10
387,M,0.455,0.34,0.135,0.462,0.1675,0.158,0.12,9
388,M,0.495,0.385,0.135,0.709,0.211,0.1375,0.262,12
